               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.025128,            0.023965,           0.0025442,             0.99684,             0.99526,               0.995,             0.86296,            0.014933,           0.0090857,          0.00088991,            0.006007,            0.006007,            0.006007
                 123,            0.022394,            0.020879,           0.0021307,              0.9927,             0.99678,               0.995,             0.84968,            0.016809,           0.0092416,           0.0008585,            0.005974,            0.005974,            0.005974
                 124,            0.023097,            0.020865,           0.0023043,             0.99747,             0.99315,               0.995,             0.83817,            0.015961,           0.0090433,          0.00086025,            0.005941,            0.005941,            0.005941
                 125,            0.021586,            0.020658,           0.0021501,             0.99637,             0.99275,             0.99495,             0.85106,            0.014825,           0.0091836,          0.00091963,            0.005908,            0.005908,            0.005908
                 126,            0.023481,            0.019506,           0.0027162,              0.9953,             0.99938,               0.995,             0.85069,            0.015018,           0.0090068,          0.00091391,            0.005875,            0.005875,            0.005875
                 127,            0.022689,             0.02156,           0.0027657,              0.9974,             0.99821,               0.995,             0.85508,            0.015004,           0.0089466,           0.0009414,            0.005842,            0.005842,            0.005842
                 128,            0.023089,            0.022378,           0.0021827,             0.99658,             0.99909,               0.995,             0.85269,            0.014953,           0.0089666,          0.00095625,            0.005809,            0.005809,            0.005809
                 129,            0.024082,            0.025369,           0.0027708,             0.99677,             0.99867,               0.995,             0.83878,            0.015762,           0.0091553,          0.00096556,            0.005776,            0.005776,            0.005776
                 130,            0.023596,            0.022806,           0.0026946,             0.99565,             0.99829,               0.995,             0.86053,            0.016085,           0.0087829,          0.00096509,            0.005743,            0.005743,            0.005743
                 131,            0.021963,            0.021435,           0.0023017,             0.99424,             0.99866,               0.995,             0.86892,            0.014691,           0.0085962,          0.00092684,             0.00571,             0.00571,             0.00571
                 132,            0.022697,            0.020773,           0.0026011,             0.99516,             0.99904,             0.99499,             0.86254,            0.014803,            0.008576,           0.0009113,            0.005677,            0.005677,            0.005677
                 133,            0.022459,            0.023188,           0.0022641,             0.99692,             0.99917,               0.995,             0.84904,            0.015171,           0.0087867,          0.00089814,            0.005644,            0.005644,            0.005644
                 134,            0.022037,            0.023752,           0.0024772,             0.99721,             0.99809,               0.995,             0.86138,            0.014698,           0.0086786,          0.00095758,            0.005611,            0.005611,            0.005611
                 135,            0.021784,            0.022597,           0.0023217,             0.99459,             0.99799,             0.99499,             0.86442,            0.014779,           0.0084309,          0.00093899,            0.005578,            0.005578,            0.005578
                 136,            0.021937,            0.021611,           0.0023398,              0.9975,             0.99651,             0.99499,             0.87719,            0.013846,           0.0083576,          0.00091642,            0.005545,            0.005545,            0.005545
                 137,            0.022732,            0.022429,           0.0021816,             0.99498,             0.99692,             0.99498,             0.87301,            0.014717,           0.0083905,          0.00084995,            0.005512,            0.005512,            0.005512
                 138,            0.021415,            0.020092,           0.0020971,              0.9958,             0.99867,             0.99499,             0.87106,            0.014458,           0.0081974,          0.00082779,            0.005479,            0.005479,            0.005479
                 139,            0.021632,            0.019957,            0.001718,              0.9975,             0.99816,               0.995,             0.86894,            0.016005,           0.0082454,          0.00082884,            0.005446,            0.005446,            0.005446
